iter	Passed	Remaining
0	0	34
1	0	32
2	0	29
3	1	26
4	1	25
5	1	25
6	1	25
7	2	24
8	2	24
9	2	24
10	2	23
11	3	23
12	3	22
13	3	22
14	3	21
15	4	21
16	4	21
17	4	21
18	4	21
19	5	20
20	5	20
21	5	20
22	5	19
23	6	19
24	6	19
25	6	19
26	7	18
27	7	18
28	7	18
29	7	18
30	8	17
31	8	17
32	8	17
33	8	17
34	9	16
35	9	16
36	9	16
37	9	16
38	10	15
39	10	15
40	10	15
41	10	14
42	11	14
43	11	14
44	11	14
45	11	13
46	12	13
47	12	13
48	12	13
49	13	13
50	13	12
51	13	12
52	13	12
53	14	12
54	14	11
55	14	11
56	14	11
57	15	10
58	15	10
59	15	10
60	16	10
61	16	9
62	16	9
63	17	9
64	17	9
65	17	9
66	17	8
67	18	8
68	18	8
69	18	8
70	19	7
71	19	7
72	19	7
73	20	7
74	20	6
75	20	6
76	21	6
77	21	6
78	22	5
79	22	5
80	22	5
81	23	5
82	23	4
83	24	4
84	24	4
85	25	4
86	25	3
87	26	3
88	26	3
89	27	3
90	28	2
91	28	2
92	29	2
93	30	1
94	30	1
95	31	1
96	31	0
97	31	0
98	32	0
99	32	0
